_member_of_domain_topic	[-0.00020582338472033325, 0.0019772872729894217, 2.2604871485057956e-05, 0.19927418411153916, -0.0019772701349323554, -2.427767505487082e-05, -0.0019998577298265285, 0.00020582311100698095, -0.2012781414077639, 0.00020582491832014536, 2.4646024079906445e-05, -0.00020582505503097392, -2.0949325135948976e-05, -0.0002058233845760456, 0.021637114613612493, -0.19929715730076714, -1.8415817465676743e-07, 0.20127610023816103, -0.00020769748634183878, 1.580946641609325e-14, 0.00020582323242138186, -0.19732343425462104, 0.0002058247813207968, -1.8429656749528813e-07, -0.00020580595779476522, 0.023614369007375527, -0.02163895431797803, 0.001977270134948176, -0.00020580610994770307, 1.560445563913778e-08, -0.19929678896759817, 2.0730634418023266e-05, -0.001977270134948176, -0.0017714468870829259, -0.021636911373502647, 2.0748028888571123e-05, 0.019637223866152312, 0.0002078643712830591, 0.17766173291639717, 0.021639138202696293, -0.001999893814677364, -0.1993006854290612, -1.6701693954454735e-09, -0.2209359099126759, 1.3854961665125916e-10, -2.4277828902475055e-05, 0.22291319926245737, -0.00020582491832015642, 0.0019793111355470194, -0.19929883025691936, 0.019659844341936274, -0.0020018988533902072, -0.00018505821775586587, -0.17963900458664014, -2.0747892176027744e-05, 0.019659642910845487, -1.3854991536056163e-10, -0.0019772702716621578, -0.22093778263116037, 0.19932310767583047, 0.0019548494217646708, -0.00020600754273489288, -0.2229131974727122, 1.727491214953947e-08, -1.7259470062375496e-08, -0.19731990443903627, 1.8398412364529473e-06, 0.0017733040029319338, 1.5443536457255813e-11, -0.19929883179051922, 0.22291317837547603, 1.5334571507770358e-09, -0.0020017304519842024, -0.021637097202116543, 1.6704549283487157e-09, 1.8586494629038375e-06, 0.19909113261672834, -0.0002058249045711536, -1.8742539201360914e-06, -0.19929697300420107, 1.67282268810435e-06, -2.242224679930366e-05, -0.0019772701349480212, -0.19930070270395758, 0.02361436720033494, -1.725932721294907e-08, 0.021431273954108623, -1.8234944110748464e-07, -0.19731988716426693, 0.019659825533566964, 2.2622146094581783e-05, 1.7290211564289937e-08, -0.021433130933400414, 0.0019772701520849516, 0.0002041504251771348, 0.0002076803637110721, -1.6686175563658941e-09, -0.0002058405226331121, 0.2209359271856094, 0.19932327302560265]
_member_meronym	[1.5953507156087396e-07, 1.783133241942558e-07, -1.6315896513683215e-08, 1.609892066487364e-05, -0.1676795441754074, -0.00015935479625508894, -0.017731018493376046, -1.807736985443916e-07, -2.8011655743091013e-10, 1.5331905656274851e-06, 0.0015151079835745089, 0.1661805193526363, 1.4565474915574296e-05, 0.16920920134736245, 0.00015780257423284058, 0.00015780503460734895, -1.5953506984802214e-07, 0.016232009706196968, -0.16785342963454475, 0.16919618537669576, -0.01773101849118203, -1.60823246501176e-05, -1.5171548050525238e-06, 0.16785343211959883, -1.7831134279705208e-07, -0.1676956292899465, -0.0013412364342785608, 0.15146361737902636, -1.9462700726585774e-07, -0.16785496582052992, 0.016217460549139924, -0.0015311903830230224, 0.1678695147515327, 0.016217460524442902, -0.14996459227592585, -0.017731037267223103, 0.0016729130475450346, 0.0014974753143066665, 0.16785341577878882, 0.001671362953488944, -0.00015780498450768975, 0.0014990250759737785, 0.01924615885603595, 0.18542667821041955, 1.7830891309811875e-07, 0.0001562715637144088, -0.1661805196367151, -2.1280322144258174e-14, -0.16769562708522368, -1.7831332589779868e-07, 0.18375528259999, -1.6199521235807788e-07, 1.7828617599549637e-07, -2.7148012579910702e-11, 0.0015296568896462955, -0.0001593360224508062, 0.14996304248932227, 0.16767954445554734, 1.7831134279705208e-07, -0.18542666189450174, 0.1693670063296339, 0.16922681742059423, -0.1676940960475339, 0.001531190387451247, -0.001515110188297504, -0.1854266618942678, 1.5331905637284538e-06, 1.6954658713543315e-06, -0.16771171002218735, 1.78311087572821e-07, 1.6199521044973753e-07, 0.1499661260267225, -0.18694178596374347, -1.6313704724283154e-08, 0.16771170943701935, -0.019230059912438653, -0.16921226856665136, -0.0016729127400484103, 0.00014170603867602385, 0.16618051935463884, 1.6199523193485717e-07, -0.14996459255825753, 0.01621439360577307, -1.7616380712623535e-05, 1.631589840340561e-08, 1.5337505649753087e-06, -0.00015933848233996313, -1.946270070703692e-07, -1.7831112808549027e-07, -0.16755390470548226, -0.18542819539235136, -0.169368539800337, 0.00014170606407656452, -0.15147969972641526, -1.7828594206089642e-07, -0.0015312066737546244, 0.0015151077555388588, 0.18526884056918216, -1.7831113014277427e-07, 0.016215929538830366]
_derivationally_related_form	[-0.16007745595490164, 1.861298150945923e-05, 0.00017800120076300833, -0.00015937226105838416, 1.6897869016523224e-06, 0.002419336319793875, 0.0, -9.673953850841813e-16, -0.16212030751134412, 0.1791494993274435, -0.18170971657970356, 0.0022025227304187317, 1.172925880804021e-09, 0.00017813635442758785, -0.0023990164330596735, 0.019430048086077196, -0.18153172899117476, -0.0023991664829701026, 0.0, -0.16229646770339262, 0.0022211777097076663, 1.3537484540631763e-07, -0.18153158022401378, 0.18153158022401378, 0.002220866355203799, 1.839824144018665e-06, 0.181531728991044, 0.18153003804262133, -0.18172837146058343, 1.4993879124339522e-07, -0.019233420291745497, 0.18153172898975914, 1.6921203477672838e-06, -0.00017800109065714917, 0.17948886383646062, 0.0023973254857685465, -0.18135371417806834, 0.01923542271361285, -1.3720881316128678e-08, -0.019231581640799682, -0.02163243544040105, 0.0020617905777698493, 0.016834403858675153, 0.00017984114749538028, -0.0001781636898069891, 0.0192332576914514, 0.0020411753790728192, -1.6787942515714933e-05, -0.00017984102489615388, 0.20076330956861066, 0.1815298903259061, -0.1813723555454257, -0.00019663003049263375, -0.01905543270307418, -0.00239900282084703, -0.18173034559530388, 0.18153187915230104, -9.875494556067683e-16, 1.4770392800861728e-07, -0.00017601251244503372, 0.0, -0.0001576972719624323, 0.0020618030156410007, -1.3502128450208472e-08, 0.18153156650326427, 0.00017801481296486965, 0.17948885021170086, -1.4888990150367617e-07, -1.5006282756586684e-07, 0.0, 0.2007633105229028, 0.019233420291745507, 0.18151311377351625, 0.18153342111112042, 0.18153174141727227, 0.019055417919210702, -0.19854412162438448, 1.489856522330996e-07, 1.2642648438818893e-12, 0.00017983985310288147, 0.019251899181420604, 0.019214791461994306, -1.862788812528345e-05, -0.20074652140606805, 0.019253887992490934, 0.18168925014919282, 0.0, 1.4887697375575575e-07, 0.00017815007772608243, -1.6250185173134108e-07, -1.0782427729584104e-14, -0.1815317142059055, 1.8627766648074468e-05, -0.00017798760146839826, 1.3503271740244042e-08, 0.18170973136485286, -1.500500296202376e-07, -1.8398241332362374e-06, -0.019413274928712733, 0.019233420170126646]
_member_of_domain_region	[-0.0012799078176991242, 0.015436105274833209, 0.19136438674730089, 0.014156072129531136, 0.015436241503460431, -1.3633261821720344e-07, 9.953246037323012e-13, -0.01682318579197702, -0.19263269810976294, 0.016692832163101762, -1.0798483595747771e-09, 0.0012799088975475798, -0.014143201618647112, -0.19136438674729958, -0.1913643868512931, -0.19264441990461173, -0.01670570170815306, 0.01414590775581895, -0.015425804686490616, 0.015424508694736591, -0.19276306492447373, -0.0012798970346651426, -0.17721976502611467, -0.016704416627357468, 0.19263268504009784, 1.1016049187690795e-11, 0.016823173928086316, 0.19264428378196732, -0.014156209437012816, -0.0012799099883124498, -0.1784880872987996, 0.015305737381352038, 1.1573555098973068e-05, -0.1926455675519001, 0.0, 0.015424519720606303, -0.1926325618933306, -0.0012798969296645888, -0.1913760965301327, -0.19264414744934782, -0.01543610527682113, -0.01658436251799228, -0.016704416627358536, -1.3069649676700841e-08, 0.015436116185778668, -0.00013035483574332907, 0.00013034283383248947, 0.17605863629719365, -1.091003803826714e-08, 0.00011862105097705792, 1.304656527659075e-15, 1.2740557351004315e-06, 1.2980355494098583e-06, 0.19252551331749063, 0.01542451971971179, -0.0012798969186628908, -0.0012797605760214573, 1.1584362254171612e-05, 0.01670571359396198, -1.2860347168261163e-06, 0.00010719570329036039, 0.00011876926960456734, -0.0012799078288147014, 0.015317472120835682, -0.015305750336091727, 9.94019947204642e-13, 0.015306910214200862, 0.00011877034855856347, 0.17861713220297631, -0.014025717420706699, 0.016715866081863963, -0.015424507729810945, 0.00011890430238096346, 1.2849657860783249e-06, 0.17595146457261124, 0.19263256198519907, 1.3634254330618637e-07, -0.1927643379003591, 1.2849656866463872e-06, 1.2838868463264703e-06, -0.001268312442282157, -0.17838102771994524, 0.00011748526865874497, 0.19404295093308566, -0.00010730795022759341, -0.00011875727861025944, -0.0001186199712266973, -0.00011876915459646372, 1.2849667789112484e-06, 0.015423235822759583, -0.1773385332148625, -0.19264428355204907, 0.01669283109317709, 0.17594001524512173, -0.015424507717800993, 1.145040843011406e-05, 0.19264558063366197, 1.0022029240486153e-11, -0.19263268612094153, 0.19380541023616776]
_similar_to	[-0.012878885258852963, 0.014183643857660846, 0.17554372451957537, 0.00011572793703680875, -0.17541692898982494, 0.014299153948261664, 0.014299251918734228, 1.0946645343072356e-05, -0.001283798022045607, 1.0779587260034325e-07, -1.1067686623922173e-05, -0.16134912195595885, -1.0778486955086169e-07, 0.012890899753402556, 1.0968647055744452e-05, -0.01418353498201934, -1.0958715951536545e-05, -0.0012936910171075975, 0.1755436167238067, -0.014183415115738333, -0.16136115835819037, 1.0958715838070094e-05, -0.014194493803665402, 0.0012935810831474928, -0.01288984492799877, 0.18971618091946693, -0.001292634265312373, -0.01418247919331133, 0.00011574000854783015, -0.0012827313489674247, -0.17553266793906494, -0.17554372462649617, 0.012775184965751493, -0.00011572687993392912, 0.18972821849561064, 0.17565934359295587, 0.015477224919009986, -0.01418246926011384, 0.17672051088555774, 0.0001158356289851127, -0.1755325480848998, -1.0958714848210762e-05, 0.1768362499201369, -0.01405684822211194, 0.17424992581262053, -0.17555457435866093, -0.17684815438360307, -0.014194493686862254, -0.0012947567379012076, -0.014299371784805745, 0.014067806937957807, 0.18971619192077016, 0.014184699635461099, 0.0012947678461236037, -0.159950553932583, 0.0012935811880521282, 0.001292634148414098, -0.17425003457156352, 0.17554361565371324, 0.014183534876001927, 0.16137102838734774, 0.17542777885170646, -1.0678589857814675e-06, -0.0012935921903547813, -1.066895801910978e-06, 0.001179028799656221, 0.17542895557556454, -0.17683837346181255, -0.0011779621158805125, -0.00011572793824488929, 0.014184602840898827, 1.0886386580360528e-07, 9.891937837800026e-06, -0.00011571800694073136, 1.0668968005891988e-06, -0.00011573893944257967, 0.15995066278566317, 0.014184601759906124, 0.015477235825298778, 0.01429926185105514, -0.161360080778813, 0.0012926242261935025, -0.17554372441465257, -1.1002301737259398e-08, 0.0012827313379730966, -0.16137105038006314, -0.17683730559183167, -0.17565933259254646, -1.0890401579610293e-11, 0.16136008068369534, 0.00011583680300535696, -0.014289372074083411, 0.014194493591839977, -0.17564838380790784, 0.0011779509966620538, 0.00011572900723594248, 0.014067698179900013, 0.17542788771657084, 1.2026575839046927e-05, -0.014183426127931978]
_hypernym	[-0.019495096886448217, 0.0, -0.22018581278725344, -1.6110377500123266e-05, -0.1791429528215629, 1.836185723046187e-08, -0.01949670657549084, -0.20068908935564395, 0.0016935125272609752, -0.0018456783626324836, 0.0, 0.0, 0.0, -0.20086064031152287, 0.019512817334810025, -1.8345588102968953e-08, 0.0, -0.01764940204969959, 0.0, 1.4502360908387073e-05, 0.0, 0.0018634332810914729, 0.021360121875282818, -0.20069088551843628, -1.6097389116968123e-06, 0.20085920171479943, 0.0, 0.01932839039522801, 0.20084292003144347, 0.0020317280385563365, 1.8361686714222795e-08, -0.00015364249390283392, 0.0, 0.20255235304982847, 0.0018634334801142147, -0.17929659531582023, 1.836025767985388e-08, -0.017649590181218693, 0.019530367466456568, -0.00016992265750164187, 0.0, 0.01951281542972182, -0.20085921853710342, -0.20068927753546062, -0.0018617870193959206, 0.017649403772034323, 0.0, 0.20070361011059495, -0.0016773805134571995, -1.69771383253573e-07, -0.00016992284026987267, 0.20068910771748638, -0.0018632454993498285, -0.1988255226785248, -0.019512816986789354, 0.0, 0.019682723168575784, 0.0, 1.611039344613218e-05, 0.0001715306724938163, 0.0001700941804046981, -0.0001699207537995717, -0.1989956317467779, -0.0018634149178055422, 0.19882731899505487, -0.017649402049715723, 1.4816842935121958e-15, 0.01951281715045852, 0.0, 0.00017151231083357187, -0.22018596593236822, -1.7548574592167332e-05, 0.0, 0.0, 0.019512798806609413, -0.20087691855500803, 0.0018632435956773587, 0.20069069735630463, 0.019665003254354402, 0.20255252301868212, 0.0016936605100172258, -0.20068910945432164, 1.6080006904006202e-06, -0.18119223117313146, -0.021360121894567208, 0.021190219300234188, -0.20068910771750118, -0.00015381381795369781, -0.20236809780143183, -0.00017136240829296074, 1.7221509149232181e-09, -1.607801467430741e-06, 1.6806534718158796e-07, -0.002034945559697086, 1.61014297961468e-11, -0.0016775499656799078, -0.019326785820105323, 0.019511210854585712, 0.0, -0.18098864972883416]
_member_holonym	[-8.848030246707537e-07, -0.18611862983489025, -0.16782574990639498, 0.00013753240140690847, 8.854811659760919e-07, -0.01829377929852044, -0.16767797946794255, -0.00012480090328724657, 0.0001376217506600338, -0.16796425653121652, -0.16613324846348795, -0.16796335716047855, -0.16938321179452676, 0.18610760199713036, -0.1678258178159813, 0.018292893817954382, 0.00013673566254994579, -0.016599588692325775, -0.001694361148153502, -0.018280149030979322, -1.200900627377568e-05, 0.01829191265578792, -0.16796344590406118, -0.0001367287173374343, 6.655342487569623e-13, 0.0015566651490996274, 0.1495338372575026, 8.917405017230715e-07, -0.001681541585200635, -0.18442613533713506, -0.0001256877407230887, -0.0018411504237180612, -0.14938509325992533, -1.2819704622626538e-05, -0.001705314810048542, -0.16770085965330803, 0.1679625534854133, 0.018292893824292798, 1.2737841940658083e-05, -0.00013762107246169438, 0.16612220742256262, -0.016600398712584653, 0.16950808815865057, 0.0016942792771410455, 0.00013762114993776995, 0.016598607595113793, -7.015618568959636e-09, -0.0001485747344134145, 6.112391452860424e-14, 1.193408801730988e-05, 0.0016933862452144116, -0.16938329359295834, -0.16782573601059705, -1.1926529752580484e-05, 8.931100720075861e-07, -0.018429615519794714, 0.16781560060532005, -0.1695209084702735, 0.0015556909251331125, 8.92426195823867e-07, 0.00013672871878551488, 0.16782663538761836, -0.1510904067123119, -0.0017053142023827003, 0.0016933875939321808, -0.18610767678683438, -0.0001248084477034639, -0.16782574296197064, 0.00013762815927414947, 0.0017045034405102366, 0.018304725344909727, -1.1927885918588978e-05, 0.01660039244629674, -0.0016925693518277745, 8.924968419983636e-07, -0.166133248463488, 0.16781470878661567, 0.1695319495194776, -0.1678147144529601, -0.018429608646562706, 1.1845481260876051e-05, 0.1678267241235274, -0.016736227996442674, 0.0015565840363572327, 0.00013664624149040952, -0.00013672864753569398, 0.00013592503533838484, 0.00013672803992655089, 1.1035461049250014e-05, 9.811684478311452e-07, -0.00012488399375163784, -0.16782663599383993, -0.16782671786419656, -0.18625714340419766, -1.281268900400168e-05, 0.1676898997250725, 0.1495328491452862, -0.001693305802443791, -0.001557550624044538, -0.00014954834454554707]
_instance_hypernym	[1.16305045472054e-05, -0.00013307034835541878, -0.00013297128101693288, 0.01712842702266438, -1.1722534779968571e-05, 0.0016646429921001898, -0.21787191706659875, 0.21980146708438908, 0.20103183569847294, -0.017117740668391206, 0.00013400741417369123, 1.1352607067828252e-06, -1.18139140177146e-05, 9.202971489975329e-08, -0.017129470247526552, -0.018781347425569743, 9.906795075770889e-08, 0.016971925733613353, -0.0016657706047113405, 0.20075407148051808, 0.01724968985154711, -0.00013297122758513516, -0.001664628909455429, 0.1992224982941336, 0.2008978275809557, -0.0016762594201747314, -0.18378111605426953, -0.20087541875150136, 0.20088713359700258, 0.2008871342469618, 0.0016752302717377837, 5.436706538056161e-10, 0.00013296483978307398, 0.01711681059468526, -0.19935453949465978, -6.984338352255784e-09, 0.2180155683612427, 1.1217751589202485e-06, 0.01711661949588852, -0.0016636853018638718, 0.015441488293237729, 0.00013297182520497058, 0.20089886327677825, 1.1815101945451578e-05, 0.000132977668776217, -0.0015315796808980547, -5.394504444404954e-11, -0.18390340104004646, 0.2008870492560015, -0.20087541869709113, -0.016984783470584314, -1.1721937682100282e-05, 0.01546369903343223, 0.2008860136669379, -9.511946345505958e-07, 0.0016646294587803498, -0.01724968275371108, -9.202966743906938e-08, -0.0001436570320210757, 0.017249689845379272, 1.0355362534944688e-06, -0.0169848614289206, 0.0186483756014954, 9.441569113706199e-07, -0.21788268906381567, -0.0016646436476658402, 0.001675322300929735, -0.0017858841025378536, -0.00013297128148732445, -0.015463798108078077, 0.0016529140156634871, 0.2008988638142759, 0.00013401390257240767, -0.2007541700047935, 0.0016763584819059537, -0.0001330703488783561, -0.017249682807143334, 0.20255178368024843, 0.001675322307620108, 0.01699649842289237, -0.0017858852965803912, 0.017249682854392854, -0.017116704487932385, -0.2008881768752919, 0.017248561629028297, -0.20088609805467664, 0.00013297182464480962, -0.016983648214966552, 1.036730301094831e-06, 0.2198014530613436, 0.01711671211704653, 0.016972011269232805, -0.01724968280765561, 0.0016753222536750859, 0.00013305627296586445, 1.036837060959275e-06, 6.440710587028711e-09, 1.0361804583887318e-06, 0.017116704487927265, 0.017128434658511688]
_member_of_domain_usage	[1.7644508402926405e-06, -0.1618592058035801, -0.1620403021090797, -0.14867168519737703, 1.7743071623672003e-07, -0.16203855411224752, 1.749440624589054e-06, -1.7495706331220096e-06, -0.00017936157552752885, -0.011720610271714576, -0.16186095538657974, -0.013368616911790294, -0.16202157267733677, 1.88916825912656e-05, 0.16202141011212293, 0.01336861689932418, 0.0016460948815719097, -1.6402139348189934e-07, 0.16201983663235228, 0.013189268730695664, 0.16186094038983947, 0.013368618486721306, -0.00017933155375930528, 0.013368779319836505, 0.013366852447267064, 1.871425086466959e-05, 0.0001795089857139796, -1.8891552473784673e-05, -0.0016480232251232098, -0.015016640265606934, 0.00018109613594475838, -0.1636882951565745, -0.013368600430385234, -1.8729274554777743e-05, 1.8727817158447962e-05, -1.7644644366610058e-06, -0.17540891724889865, -0.16186079297854544, 0.16204014113136134, -0.14867152264574865, 0.17540700713134846, 0.16368831031038217, -0.16205728178594256, -0.14867167004356935, -1.5870324909457317e-06, -0.013349889224532204, -0.1620403036828903, -0.013368616896878922, 0.01336861689799841, -0.013368616883196165, -0.00016063229975290624, 0.0016310285233523715, -0.16204030195201144, 1.8729274566561252e-05, 0.01153935011204993, 1.4866624015984959e-08, -0.16205901621744936, 1.85668529466489e-05, -1.872941802892711e-05, 1.698143603128876e-05, 0.0001775971382716142, -0.1618607931085528, -0.17540908112814582, 0.001646243894076502, 1.500888898861009e-08, 0.16186095538657994, 0.0016497576555319963, 2.0478715180311277e-05, -0.011718874254008067, -0.0016480233538059721, -0.14866993575686147, -0.14867168505378411, 0.16186079135037337, -1.8731019150898682e-05, -0.16205919380402692, -0.16202157427832706, -0.011720623693522803, -0.16204030210795917, 0.013189447765740174, 0.013549711302943397, -0.015016623510806704, -0.14849216105785557, -0.1620572967959402, 0.013368616898106412, 0.013368454490073036, -1.6067582763050098e-07, -0.013548125885039095, 0.17522955713209745, 0.16204028692808053, 1.7495842283480042e-06, 1.7744664767345642e-07, -0.14865295563441772, 0.17540891884878115, 0.00017918413010732805, 0.17375916104965536, 0.015016462834988878, -1.7494406246879995e-06, -1.7644507313446712e-06, 0.16204013954252938, 0.013368618642692719]
_synset_domain_topic_of	[-0.0021953991335212394, -0.00020334566059857997, 0.19506803245931817, -0.19508940014555612, 0.19488407396607188, 0.0021955633622231354, -0.00020332899897502086, 0.022569038581433797, 0.00018196276877437446, -0.020375472283065896, 0.022774218431569272, 0.024766452663020366, 1.9565293664510745e-05, -2.138289184680696e-05, -0.19508940161670874, 0.19509103819498644, 0.1950892388589377, 1.7930258315764575e-07, -1.8026726919090165e-06, -0.00020334714631013498, 0.00020332899897476095, 0.0021740145077986986, 1.8341598154059272e-06, 2.1382877108286774e-05, 0.024562909552483476, -0.19511097754561726, 0.00020336369112197933, -2.320052154604666e-05, -0.020375294317800875, -0.00020334554403148508, 0.022776020841073975, 0.19508940015823453, 0.02037527776028776, 1.9986516616426e-06, 0.19508923727115088, -0.022570856211153484, -0.02277601950147136, -0.0021973960513050473, -1.7943415787839496e-07, -1.8325572699895508e-06, 2.32006404381349e-05, -2.1562455559353707e-05, -0.1950892372709286, -2.3201977783041295e-05, -0.0024183099541539386, 0.00020318265444359274, 0.195089433235602, 0.0002033456753618242, 0.002197397522038292, 0.19289383823972261, -0.002195578436104614, -0.00239892411350163, 2.320050682775624e-05, 0.0021741789996451845, 0.00020316624120392414, -0.0002033291305471858, -1.8190859562475068e-06, -0.1950893985432281, -0.19508943189599942, -2.3825203849761574e-16, -0.00020336221835588132, -1.8009385964526362e-06, -0.19506804885987916, 0.0021972166169295475, -2.320050704980714e-05, -2.138436279975281e-05, 0.1952909448825188, 1.4738747605539506e-11, 0.0021955634938376984, -2.0377696852701076e-12, -0.00018196278351524469, -0.022774203359503448, -0.0021957578852205184, 0.19509121776096114, -0.024971778842704278, 0.19728517308985227, -0.19508941655899315, 0.19289383812313549, 1.4738541842415347e-11, -0.022365692922852672, 0.02257267369433974, 0.197284995141411, -1.4709753198825394e-09, 0.19529457999566902, -0.00020152953132919653, -0.02476825213044391, 0.024561271488489623, -0.00020496731159485256, -0.1950894153514096, 0.022570675437617153, 0.19728497845028778, -2.1659276227055976e-17, 1.8176149809492837e-06, -0.19511079959715324, 0.0021957592096381617, -0.022590240451338454, 2.1399438496949898e-05, 1.6544834434984195e-08, 0.00020516330485693607, -0.19506803380075902]
